### ----					---- ###
	Generic Fantasy Game X: Collected Data
### ----					---- ###
Date/Time of Play session: 27/5/2018 13:55:13.
Date/Time of Play session: 27/5/2018 14:0:1.
Date/Time of Play session: 27/5/2018 21:20:12.
Date/Time of Play session: 27/5/2018 21:20:19.
Floor: 0 Objective: Kill Enemies Enemy Kills: 0 Total Enemies: 0
Floor: 0 Objective: Kill Enemies Enemy Kills: 0 Total Enemies: 0
Date/Time of Play session: 27/5/2018 21:22:57.
Date/Time of Play session: 27/5/2018 21:29:12.
Date/Time of Play session: 27/5/2018 21:29:41.
Date/Time of Play session: 27/5/2018 21:33:30.
Date/Time of Play session: 27/5/2018 21:39:11.
Date/Time of Play session: 27/5/2018 21:40:34.
Date/Time of Play session: 27/5/2018 21:45:11.
Date/Time of Play session: 27/5/2018 21:45:16.
Date/Time of Play session: 27/5/2018 21:45:51.
Date/Time of Play session: 27/5/2018 21:47:10.
Date/Time of Play session: 27/5/2018 21:48:42.
Date/Time of Play session: 27/5/2018 21:48:50.
Date/Time of Play session: 27/5/2018 21:48:57.
Date/Time of Play session: 27/5/2018 21:49:57.
Date/Time of Play session: 27/5/2018 21:51:8.
Date/Time of Play session: 27/5/2018 21:51:17.
Date/Time of Play session: 27/5/2018 21:51:52.
Date/Time of Play session: 27/5/2018 21:52:2.
Date/Time of Play session: 27/5/2018 21:53:16.
Date/Time of Play session: 27/5/2018 21:54:50.
Date/Time of Play session: 27/5/2018 21:54:55.
Date/Time of Play session: 27/5/2018 21:55:35.
Date/Time of Play session: 27/5/2018 21:55:42.
Date/Time of Play session: 27/5/2018 21:56:35.
Date/Time of Play session: 27/5/2018 21:58:16.
Date/Time of Play session: 27/5/2018 22:0:0.
Date/Time of Play session: 27/5/2018 22:0:32.
Date/Time of Play session: 27/5/2018 22:0:36.
Date/Time of Play session: 27/5/2018 22:0:54.
Date/Time of Play session: 27/5/2018 22:1:48.
Date/Time of Play session: 27/5/2018 22:3:44.
Date/Time of Play session: 27/5/2018 22:6:3.
Date/Time of Play session: 27/5/2018 22:6:23.
Date/Time of Play session: 27/5/2018 22:6:27.
Date/Time of Play session: 27/5/2018 22:10:1.
Date/Time of Play session: 27/5/2018 22:10:6.
Date/Time of Play session: 27/5/2018 22:10:31.
Date/Time of Play session: 27/5/2018 22:11:25.
Date/Time of Play session: 27/5/2018 22:12:8.
Date/Time of Play session: 27/5/2018 22:12:30.
Date/Time of Play session: 27/5/2018 22:13:28.
Date/Time of Play session: 27/5/2018 22:18:24.
Date/Time of Play session: 27/5/2018 22:18:56.
Date/Time of Play session: 27/5/2018 22:20:17.
Date/Time of Play session: 27/5/2018 22:20:36.
Date/Time of Play session: 27/5/2018 22:21:5.
Date/Time of Play session: 27/5/2018 22:21:20.
Date/Time of Play session: 27/5/2018 22:22:15.
Date/Time of Play session: 27/5/2018 22:22:36.
Date/Time of Play session: 27/5/2018 22:23:49.
Date/Time of Play session: 27/5/2018 22:28:9.
Date/Time of Play session: 27/5/2018 22:29:15.
Date/Time of Play session: 27/5/2018 22:29:25.
Date/Time of Play session: 27/5/2018 22:29:33.
Date/Time of Play session: 27/5/2018 22:30:4.
Date/Time of Play session: 27/5/2018 22:30:15.
Date/Time of Play session: 27/5/2018 22:30:45.
Date/Time of Play session: 27/5/2018 22:31:0.
Date/Time of Play session: 27/5/2018 22:31:14.
Date/Time of Play session: 27/5/2018 22:31:59.
Date/Time of Play session: 27/5/2018 22:32:20.
Date/Time of Play session: 27/5/2018 22:32:38.
Date/Time of Play session: 27/5/2018 22:33:48.
Date/Time of Play session: 27/5/2018 22:34:5.
Date/Time of Play session: 27/5/2018 22:34:29.
Date/Time of Play session: 27/5/2018 22:34:50.
Date/Time of Play session: 27/5/2018 22:36:9.
Date/Time of Play session: 27/5/2018 22:36:12.
Date/Time of Play session: 27/5/2018 22:36:32.
Date/Time of Play session: 27/5/2018 22:38:22.
Date/Time of Play session: 27/5/2018 22:39:18.
Date/Time of Play session: 27/5/2018 22:39:48.
Date/Time of Play session: 27/5/2018 22:39:58.
Date/Time of Play session: 27/5/2018 22:41:6.
Date/Time of Play session: 27/5/2018 22:41:10.
Date/Time of Play session: 27/5/2018 22:41:22.
Date/Time of Play session: 27/5/2018 22:43:16.
Date/Time of Play session: 27/5/2018 22:43:43.
Date/Time of Play session: 27/5/2018 22:44:32.
Date/Time of Play session: 27/5/2018 22:44:56.
Date/Time of Play session: 27/5/2018 22:45:24.
Date/Time of Play session: 27/5/2018 22:45:50.
Date/Time of Play session: 27/5/2018 22:46:21.
Date/Time of Play session: 27/5/2018 22:47:25.
Date/Time of Play session: 27/5/2018 22:47:40.
Date/Time of Play session: 27/5/2018 22:47:57.
Date/Time of Play session: 27/5/2018 22:48:9.
Date/Time of Play session: 27/5/2018 22:48:28.
Date/Time of Play session: 27/5/2018 22:48:39.
Date/Time of Play session: 27/5/2018 22:48:55.
Date/Time of Play session: 27/5/2018 22:49:9.
Date/Time of Play session: 27/5/2018 22:49:25.
Date/Time of Play session: 27/5/2018 22:56:43.
Date/Time of Play session: 27/5/2018 22:58:49.
Date/Time of Play session: 27/5/2018 22:59:22.
Date/Time of Play session: 27/5/2018 23:0:4.
